

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
3106.253  015.090  015.090: require('lspconfig.server_configurations.bashls')
3161.754  014.980  014.980: require('lspconfig.server_configurations.clangd')
3251.971  021.159  021.159: require('rust-tools')
3251.976  048.419  027.259: require('rust-tools.dap')
3251.980  048.892  000.473: require('user.lsp.settings.rust')
3295.780  022.280  022.280: require('rust-tools.utils.utils')
3295.788  043.806  021.526: require('rust-tools.code_action_group')
3316.361  020.571  020.571: require('rust-tools.cached_commands')
3339.358  022.994  022.994: require('rust-tools.commands')
3403.684  022.294  022.294: require('rust-tools.executors.termopen')
3429.315  025.628  025.628: require('rust-tools.executors.quickfix')
3451.419  022.102  022.102: require('rust-tools.executors.toggleterm')
3473.016  021.593  021.593: require('rust-tools.executors.vimux')
3473.020  113.113  021.497: require('rust-tools.executors')
3473.031  133.670  020.557: require('rust-tools.config')
3493.666  020.614  020.614: require('rust-tools.crate_graph')
3515.970  022.302  022.302: require('rust-tools.debuggables')
3537.797  021.824  021.824: require('rust-tools.expand_macro')
3559.830  022.029  022.029: require('rust-tools.external_docs')
3580.885  021.052  021.052: require('rust-tools.hover_actions')
3601.673  020.785  020.785: require('rust-tools.hover_range')
3622.214  020.538  020.538: require('rust-tools.inlay_hints')
3642.696  020.475  020.475: require('rust-tools.join_lines')
3684.509  021.374  021.374: require('rust-tools.server_status')
3684.514  041.815  020.442: require('rust-tools.lsp')
3706.193  021.677  021.677: require('rust-tools.move_item')
3728.284  022.088  022.088: require('rust-tools.open_cargo_toml')
3749.395  021.107  021.107: require('rust-tools.parent_module')
3769.913  020.515  020.515: require('rust-tools.runnables')
3791.435  021.518  021.518: require('rust-tools.ssr')
3812.722  021.284  021.284: require('rust-tools.standalone')
3834.308  021.583  021.583: require('rust-tools.workspace_refresh')
3851.865  017.267  017.267: require('lspconfig.server_configurations.rust_analyzer')
3948.365  016.383  016.383: require('lspconfig.server_configurations.taplo')
3989.317  000.316  000.316: require('user.lsp.settings.zk')
4004.715  015.388  015.388: require('lspconfig.server_configurations.zk')
4066.021  015.936  015.936: require('lspconfig.server_configurations.lemminx')
4121.765  015.605  015.605: require('lspconfig.server_configurations.gopls')
4162.604  2554.879  876.355: require('user.lsp.mason')
4189.117  026.487  026.487: require('vim.diagnostic')
4228.175  039.048  039.048: require('user.lsp.null-ls')
4249.706  011.097  011.097: require('lsp_lines.render')
4249.710  021.531  010.434: require('lsp_lines')
4249.720  3098.370  000.748: require('user.lsp')
4298.841  024.766  024.766: require('telescope._extensions')
4298.845  048.653  023.888: require('telescope')
4420.209  027.003  027.003: require('plenary.bit')
4444.059  023.845  023.845: require('plenary.functional')
4444.082  000.012  000.012: require('ffi')
4444.103  074.566  023.706: require('plenary.path')
4444.116  096.216  021.650: require('plenary.strings')
4469.863  025.746  025.746: require('telescope.deprecated')
4540.153  021.919  021.919: require('plenary.log')
4540.172  045.416  023.497: require('telescope.log')
4583.864  020.047  020.047: require('plenary.job')
4607.560  023.693  023.693: require('telescope.state')
